a	a˧˧
cừu gia	kɯw˧˨za˧˧
cừu hận	kɯw˧˨hɤ̆n˨ˀ˩ʔ
cừu quốc	kɯw˧˨kwok͡p˦˥
cừu thù	kɯw˧˨tʰu˧˨
cừu thị	kɯw˧˨tʰi˨ˀ˩ʔ
cừu địch	kɯw˧˨dik˨ˀ˩
cử	kɯ˧˩˨
cử ai	kɯ˧˩˨aj˧˧
cử binh	kɯ˧˩˨biŋ˧˧
cử bộ	kɯ˧˩˨bo˨ˀ˩ʔ
cử chỉ	kɯ˧˩˨ci˧˩˨
cử hành	kɯ˧˩˨hɛŋ˧˨
cử lễ	kɯ˧˩˨le˧ˀ˥
cử nghiệp	kɯ˧˩˨ŋiəp˨ˀ˩
cử nhân	kɯ˧˩˨ɲɤ̆n˧˧
cử nhạc	kɯ˧˩˨ɲak˨ˀ˩
cử sự	kɯ˧˩˨sɯ˨ˀ˩ʔ
cử toạ	kɯ˧˩˨twa˨ˀ˩ʔ
cử tri	kɯ˧˩˨ci˧˧
cử tri đoàn	kɯ˧˩˨ci˧˧dwan˧˨
cử tạ	kɯ˧˩˨ta˨ˀ˩ʔ
cử tử	kɯ˧˩˨tɯ˧˩˨
cử đỉnh	kɯ˧˩˨diŋ˧˩˨
cử động	kɯ˧˩˨doŋ͡m˨ˀ˩ʔ
cửa	kɯə˧˩˨
cửa biên phòng	kɯə˧˩˨biən˧˧fɔŋ͡m˧˨
cửa biển	kɯə˧˩˨biən˧˩˨
cửa bán vé	kɯə˧˩˨ban˨˦vɛ˨˦
cửa bên	kɯə˧˩˨ben˧˧
cửa bắc	kɯə˧˩˨băk˦˥
cửa bể	kɯə˧˩˨be˧˩˨
cửa bồ đề	kɯə˧˩˨bo˧˨de˧˨
cửa bồng	kɯə˧˩˨boŋ͡m˧˨
cửa bụt	kɯə˧˩˨but˨ˀ˩
cửa bức bàn	kɯə˧˩˨bɯk˦˥ban˧˨
cửa cao nhà rộng	kɯə˧˩˨kaw˧˧ɲa˧˨zoŋ͡m˨ˀ˩ʔ
cửa cao rào kín	kɯə˧˩˨kaw˧˧zaw˧˨kin˨˦
cửa chiền	kɯə˧˩˨ciən˧˨
cửa chẳng qua nhà chẳng đến	kɯə˧˩˨căŋ˧˩˨kwa˧˧ɲa˧˨căŋ˧˩˨den˨˦
cửa chớp	kɯə˧˩˨cɤp˦˥
cửa cong	kɯə˧˩˨kɔŋ͡m˧˧
cửa cuốn	kɯə˧˩˨kuən˨˦
cửa các buồng khuê	kɯə˧˩˨kak˦˥buəŋ˧˨xwe˧˧
cửa các phòng khuê	kɯə˧˩˨kak˦˥fɔŋ͡m˧˨xwe˧˧
cửa cái	kɯə˧˩˨kaj˨˦
cửa công	kɯə˧˩˨koŋ͡m˧˧
cửa cạn	kɯə˧˩˨kan˨ˀ˩ʔ
cửa cấm	kɯə˧˩˨kɤ̆m˨˦
cửa cấm lầu cao	kɯə˧˩˨kɤ̆m˨˦lɤ̆w˧˨kaw˧˧
cửa cấm lầu hồng	kɯə˧˩˨kɤ̆m˨˦lɤ̆w˧˨hoŋ͡m˧˨
cửa cấm lầu son	kɯə˧˩˨kɤ̆m˨˦lɤ̆w˧˨sɔn˧˧
cửa cống	kɯə˧˩˨koŋ͡m˨˦
cửa dương	kɯə˧˩˨zɯəŋ˧˧
cửa già	kɯə˧˩˨za˧˨
cửa giả	kɯə˧˩˨za˧˩˨
cửa hiệu	kɯə˧˩˨hiəw˨ˀ˩ʔ
cửa hàng	kɯə˧˩˨haŋ˧˨
cửa hàng trưởng	kɯə˧˩˨haŋ˧˨cɯəŋ˧˩˨
cửa hậu	kɯə˧˩˨hɤ̆w˨ˀ˩ʔ
cửa khuyết	kɯə˧˩˨xwiət˦˥
cửa không	kɯə˧˩˨xoŋ͡m˧˧
cửa khẩu	kɯə˧˩˨xɤ̆w˧˩˨
cửa khổng	kɯə˧˩˨xoŋ͡m˧˩˨
cửa khổng nhà trình	kɯə˧˩˨xoŋ͡m˧˩˨ɲa˧˨ciŋ˧˨
cửa khổng sân trình	kɯə˧˩˨xoŋ͡m˧˩˨sɤ̆n˧˧ciŋ˧˨
cửa kín tường cao	kɯə˧˩˨kin˨˦tɯəŋ˧˨kaw˧˧
cửa kính	kɯə˧˩˨kiŋ˨˦
cửa liếp	kɯə˧˩˨liəp˦˥
cửa lá sách	kɯə˧˩˨la˨˦sɛk˦˥
cửa lò	kɯə˧˩˨lɔ˧˨
cửa lùa	kɯə˧˩˨luə˧˨
cửa lớn	kɯə˧˩˨lɤn˨˦
cửa lục	kɯə˧˩˨luk͡p˨ˀ˩
cửa miệng	kɯə˧˩˨miəŋ˨ˀ˩ʔ
cửa miệng có thần	kɯə˧˩˨miəŋ˨ˀ˩ʔkɔ˨˦tʰɤ̆n˧˨
cửa mái	kɯə˧˩˨maj˨˦
cửa mình	kɯə˧˩˨miŋ˧˨
cửa mạch	kɯə˧˩˨mɛk˨ˀ˩
cửa mở	kɯə˧˩˨mɤ˧˩˨
cửa nam	kɯə˧˩˨nam˧˧
cửa ngang cổng hậu	kɯə˧˩˨ŋaŋ˧˧koŋ͡m˧˩˨hɤ̆w˨ˀ˩ʔ
cửa ngách	kɯə˧˩˨ŋɛk˦˥
cửa ngõ	kɯə˧˩˨ŋɔ˧ˀ˥
cửa ngăn	kɯə˧˩˨ŋăn˧˧
cửa ngầm	kɯə˧˩˨ŋɤ̆m˧˨
cửa ngỏ	kɯə˧˩˨ŋɔ˧˩˨
cửa nhà	kɯə˧˩˨ɲa˧˨
cửa nách	kɯə˧˩˨nɛk˦˥
cửa nát nhà tan	kɯə˧˩˨nat˦˥ɲa˧˨tan˧˧
cửa nát nhà xiêu	kɯə˧˩˨nat˦˥ɲa˧˨siəw˧˧
cửa nẻo	kɯə˧˩˨neo˧˩˨
cửa phật	kɯə˧˩˨fɤ̆t˨ˀ˩
cửa phủ	kɯə˧˩˨fu˧˩˨
cửa quan	kɯə˧˩˨kwan˧˧
cửa quang	kɯə˧˩˨kwaŋ˧˧
cửa quay	kɯə˧˩˨kwăj˧˧
cửa quyền	kɯə˧˩˨kwiɛn˧˨
cửa ra	kɯə˧˩˨za˧˧
cửa rả	kɯə˧˩˨za˧˩˨
cửa rộng lầu cao	kɯə˧˩˨zoŋ͡m˨ˀ˩ʔlɤ̆w˧˨kaw˧˧
cửa rừng	kɯə˧˩˨zɯŋ˧˨
cửa sài	kɯə˧˩˨saj˧˨
cửa sông	kɯə˧˩˨soŋ͡m˧˧
cửa sổ	kɯə˧˩˨so˧˩˨
cửa sổ ngựa qua	kɯə˧˩˨so˧˩˨ŋɯə˨ˀ˩ʔkwa˧˧
cửa tay	kɯə˧˩˨tăj˧˧
cửa thiền	kɯə˧˩˨tʰiən˧˨
cửa thánh	kɯə˧˩˨tʰɛŋ˨˦
cửa thông hơi	kɯə˧˩˨tʰoŋ͡m˧˧hɤj˧˧
cửa thế sân quyền	kɯə˧˩˨tʰe˨˦sɤ̆n˧˧kwiɛn˧˨
cửa trình	kɯə˧˩˨ciŋ˧˨
cửa trập	kɯə˧˩˨cɤ̆p˨ˀ˩
cửa trời	kɯə˧˩˨cɤj˧˨
cửa tàu	kɯə˧˩˨tăw˧˨
cửa tía lầu son	kɯə˧˩˨tiə˨˦lɤ̆w˧˨sɔn˧˧
cửa tò vò	kɯə˧˩˨tɔ˧˨vɔ˧˨
cửa từ bi	kɯə˧˩˨tɯ˧˨bi˧˧
cửa tử	kɯə˧˩˨tɯ˧˩˨
cửa van	kɯə˧˩˨van˧˧
cửa viên	kɯə˧˩˨viən˧˧
cửa võng	kɯə˧˩˨vɔŋ͡m˧ˀ˥
cửa xe	kɯə˧˩˨sɛ˧˧
cửa ô	kɯə˧˩˨o˧˧
cửa đình	kɯə˧˩˨diŋ˧˨
cửa đóng then cài	kɯə˧˩˨dɔŋ͡m˨˦tʰɛn˧˧kaj˧˨
cửa ải	kɯə˧˩˨aj˧˩˨
cửi	kɯj˧˩˨
cửi canh	kɯj˧˩˨kɛŋ˧˧
cửng	kɯŋ˧˩˨
cửu	kɯw˧˩˨
cửu an	kɯw˧˩˨an˧˧
cửu cao	kɯw˧˩˨kaw˧˧
cửu chương	kɯw˧˩˨cɯəŋ˧˧
cửu hoàn	kɯw˧˩˨hwan˧˨
cửu hình	kɯw˧˩˨hiŋ˧˨
cửu hạn	kɯw˧˩˨han˨ˀ˩ʔ
cửu hạn phùng cam vũ	kɯw˧˩˨han˨ˀ˩ʔfuŋ͡m˧˨kam˧˧vu˧ˀ˥
cửu khiếu	kɯw˧˩˨xiəw˨˦
cửu khí	kɯw˧˩˨xi˨˦
cửu kinh	kɯw˧˩˨kiŋ˧˧
cửu long	kɯw˧˩˨lɔŋ͡m˧˧
cửu lí hương	kɯw˧˩˨li˨˦hɯəŋ˧˧
cửu nguyên	kɯw˧˩˨ŋwiən˧˧
cửu ngũ	kɯw˧˩˨ŋu˧ˀ˥
cửu phẩm	kɯw˧˩˨fɤ̆m˧˩˨
cửu trùng	kɯw˧˩˨cuŋ͡m˧˨
cửu tuyền	kɯw˧˩˨twiən˧˨
cửu tộc	kɯw˧˩˨tok͡p˨ˀ˩
cửu vạn	kɯw˧˩˨van˨ˀ˩ʔ
cữ	kɯ˧ˀ˥
cữu	kɯw˧ˀ˥
cự	kɯ˨ˀ˩ʔ
cự hôn	kɯ˨ˀ˩ʔhon˧˧
cự khê	kɯ˨ˀ˩ʔxe˧˧
cự khối	kɯ˨ˀ˩ʔxoj˨˦
cự li	kɯ˨ˀ˩ʔli˧˧
cự mã	kɯ˨ˀ˩ʔma˧ˀ˥
cự nho	kɯ˨ˀ˩ʔɲɔ˧˧
cự nẫm	kɯ˨ˀ˩ʔnɤ̆m˧ˀ˥
cự nự	kɯ˨ˀ˩ʔnɯ˨ˀ˩ʔ
cự phách	kɯ˨ˀ˩ʔfɛk˦˥
cự phú	kɯ˨ˀ˩ʔfu˨˦
cự thạch	kɯ˨ˀ˩ʔtʰɛk˨ˀ˩
cự thắng	kɯ˨ˀ˩ʔtʰăŋ˨˦
cự tuyệt	kɯ˨ˀ˩ʔtwiət˨ˀ˩
cự tộc	kɯ˨ˀ˩ʔtok͡p˨ˀ˩
cự đại	kɯ˨ˀ˩ʔdaj˨ˀ˩ʔ
cự địch	kɯ˨ˀ˩ʔdik˨ˀ˩
cự đồng	kɯ˨ˀ˩ʔdoŋ͡m˧˨
cựa	kɯə˨ˀ˩ʔ
cựa cạy	kɯə˨ˀ˩ʔkăj˨ˀ˩ʔ
cựa cậy	kɯə˨ˀ˩ʔkɤ̆j˨ˀ˩ʔ
cựa gà	kɯə˨ˀ˩ʔɣa˧˨
cựa lắm càng sầy vẩy	kɯə˨ˀ˩ʔlăm˨˦kaŋ˧˨sɤ̆j˧˨vɤ̆j˧˩˨
cựa quậy	kɯə˨ˀ˩ʔkwɤ̆j˨ˀ˩ʔ
cực	kɯk˨ˀ˩
cực bắc	kɯk˨ˀ˩băk˦˥
cực chẳng đã	kɯk˨ˀ˩căŋ˧˩˨da˧ˀ˥
cực cầu	kɯk˨ˀ˩kɤ̆w˧˨
cực dương	kɯk˨ˀ˩zɯəŋ˧˧
cực hàn	kɯk˨ˀ˩han˧˨
cực hình	kɯk˨ˀ˩hiŋ˧˨
cực hạn	kɯk˨ˀ˩han˨ˀ˩ʔ
cực hữu	kɯk˨ˀ˩hɯw˧ˀ˥
cực khoái	kɯk˨ˀ˩xwaj˨˦
cực khổ	kɯk˨ˀ˩xo˧˩˨
cực kì	kɯk˨ˀ˩ki˧˨
cực lòng	kɯk˨ˀ˩lɔŋ͡m˧˨
cực lạc	kɯk˨ˀ˩lak˨ˀ˩
cực lực	kɯk˨ˀ˩lɯk˨ˀ˩
cực mạnh	kɯk˨ˀ˩mɛŋ˨ˀ˩ʔ
cực nam	kɯk˨ˀ˩nam˧˧
cực ngắn	kɯk˨ˀ˩ŋăn˨˦
cực nhanh	kɯk˨ˀ˩ɲɛŋ˧˧
cực nhạy	kɯk˨ˀ˩ɲăj˨ˀ˩ʔ
cực nhọc	kɯk˨ˀ˩ɲɔk͡p˨ˀ˩
cực nhục	kɯk˨ˀ˩ɲuk͡p˨ˀ˩
cực phẩm	kɯk˨ˀ˩fɤ̆m˧˩˨
cực quang	kɯk˨ˀ˩kwaŋ˧˧
cực quyền	kɯk˨ˀ˩kwiɛn˧˨
cực thân	kɯk˨ˀ˩tʰɤ̆n˧˧
cực thịnh	kɯk˨ˀ˩tʰiŋ˨ˀ˩ʔ
cực tiểu	kɯk˨ˀ˩tiəw˧˩˨
cực trị	kɯk˨ˀ˩ci˨ˀ˩ʔ
cực tuyến	kɯk˨ˀ˩twiən˨˦
cực tím	kɯk˨ˀ˩tim˨˦
cực tả	kɯk˨ˀ˩ta˧˩˨
cực từ	kɯk˨ˀ˩tɯ˧˨
cực âm	kɯk˨ˀ˩ɤ̆m˧˧
cực điểm	kɯk˨ˀ˩diəm˧˩˨
cực đoan	kɯk˨ˀ˩dwan˧˧
cực đại	kɯk˨ˀ˩daj˨ˀ˩ʔ
cực đểm	kɯk˨ˀ˩dem˧˩˨
cực độ	kɯk˨ˀ˩do˨ˀ˩ʔ
cựu	kɯw˨ˀ˩ʔ
cựu binh	kɯw˨ˀ˩ʔbiŋ˧˧
cựu chiến binh	kɯw˨ˀ˩ʔciən˨˦biŋ˧˧
cựu chủ	kɯw˨ˀ˩ʔcu˧˩˨
cựu giao	kɯw˨ˀ˩ʔzaw˧˧
cựu hiềm	kɯw˨ˀ˩ʔhiəm˧˨
cựu học	kɯw˨ˀ˩ʔhɔk͡p˨ˀ˩
cựu học sinh	kɯw˨ˀ˩ʔhɔk͡p˨ˀ˩siŋ˧˧
cựu lệ	kɯw˨ˀ˩ʔle˨ˀ˩ʔ
cựu nho	kɯw˨ˀ˩ʔɲɔ˧˧
cựu phái	kɯw˨ˀ˩ʔfaj˨˦
cựu quán	kɯw˨ˀ˩ʔkwan˨˦
cựu thạch khí	kɯw˨ˀ˩ʔtʰɛk˨ˀ˩xi˨˦
cựu thần	kɯw˨ˀ˩ʔtʰɤ̆n˧˨
cựu thế giới	kɯw˨ˀ˩ʔtʰe˨˦zɤj˨˦
cựu thời	kɯw˨ˀ˩ʔtʰɤj˧˨
cựu tri	kɯw˨ˀ˩ʔci˧˧
cựu triều	kɯw˨ˀ˩ʔciəw˧˨
cựu truyền	kɯw˨ˀ˩ʔcwiən˧˨
cựu trào	kɯw˨ˀ˩ʔcaw˧˨
cựu trào, cựu triều	kɯw˨ˀ˩ʔcaw˧˨kɯw˨ˀ˩ʔciəw˧˨
cựu ước	kɯw˨ˀ˩ʔɯək˦˥
da	za˧˧
da bánh mật	za˧˧bɛŋ˨˦mɤ̆t˨ˀ˩
da bát	za˧˧bat˦˥
da bê	za˧˧be˧˧
da bò	za˧˧bɔ˧˨
da bọc xương	za˧˧bɔk͡p˨ˀ˩sɯəŋ˧˧
da bốc	za˧˧bok͡p˦˥
da bốc can	za˧˧bok͡p˦˥kan˧˧
da cam	za˧˧kam˧˧
da chuột căng làm trống	za˧˧cuət˨ˀ˩kăŋ˧˧lam˧˨coŋ͡m˨˦
da chì	za˧˧ci˧˨
da chì mặt bủng	za˧˧ci˧˨măt˨ˀ˩buŋ͡m˧˩˨
da cóc	za˧˧kɔk͡p˦˥
da cật	za˧˧kɤ̆t˨ˀ˩
da cừu	za˧˧kɯw˧˨
da da	za˧˧za˧˧
da diết	za˧˧ziət˦˥
da dày	za˧˧zăj˧˨
da dâu	za˧˧zɤ̆w˧˧
da dê	za˧˧ze˧˧
da dầu	za˧˧zɤ̆w˧˨
da dẻ	za˧˧zɛ˧˩˨
da gai	za˧˧ɣaj˧˧
da gà	za˧˧ɣa˧˨
da khô	za˧˧xo˧˧
da liễu	za˧˧liəw˧ˀ˥
da láng	za˧˧laŋ˨˦
da lông	za˧˧loŋ͡m˧˧
da lươn	za˧˧lɯən˧˧
da lộn	za˧˧lon˨ˀ˩ʔ
da màu	za˧˧măw˧˨
da mồi	za˧˧moj˧˨
da mồi tóc sương	za˧˧moj˧˨tɔk͡p˦˥sɯəŋ˧˧
da ngà mắt phượng	za˧˧ŋa˧˨măt˦˥fɯəŋ˨ˀ˩ʔ
da ngựa bọc thây	za˧˧ŋɯə˨ˀ˩ʔbɔk͡p˨ˀ˩tʰɤ̆j˧˧
da nhung	za˧˧ɲuŋ͡m˧˧
da non	za˧˧nɔn˧˧
da nổi hạt	za˧˧noj˧˩˨hat˨ˀ˩
da rạn	za˧˧zan˨ˀ˩ʔ
da sần	za˧˧sɤ̆n˧˨
da sống	za˧˧soŋ͡m˨˦
da thuộc	za˧˧tʰuək˨ˀ˩
da thịt	za˧˧tʰit˨ˀ˩
da trắng	za˧˧căŋ˨˦
da trắng như ngà	za˧˧căŋ˨˦ɲɯ˧˧ŋa˧˨
da trắng như trứng gà bóc	za˧˧căŋ˨˦ɲɯ˧˧cɯŋ˨˦ɣa˧˨bɔk͡p˦˥
da trắng tóc dài	za˧˧căŋ˨˦tɔk͡p˦˥zaj˧˨
da trắng vỗ bì bạch	za˧˧căŋ˨˦vo˧ˀ˥bi˧˨bɛk˨ˀ˩
da trời	za˧˧cɤj˧˨
da tô	za˧˧to˧˧
da vàng	za˧˧vaŋ˧˨
da đen	za˧˧dɛn˧˧
da đầu	za˧˧dɤ̆w˧˨
da đỏ	za˧˧dɔ˧˩˨
da đồi mồi	za˧˧doj˧˨moj˧˨
da đồng	za˧˧doŋ͡m˧˨
dai	zaj˧˧
dai dẳng	zaj˧˧zăŋ˧˩˨
dai nhách	zaj˧˧ɲɛk˦˥
dai như chão	zaj˧˧ɲɯ˧˧caw˧ˀ˥
dai như giẻ rách	zaj˧˧ɲɯ˧˧zɛ˧˩˨zɛk˦˥
dai như kéo kẹo	zaj˧˧ɲɯ˧˧keo˨˦keo˨ˀ˩ʔ
dai như đỉa đói	zaj˧˧ɲɯ˧˧diə˧˩˨dɔj˨˦
dai như đỉa; dai như đỉa đói	zaj˧˧ɲɯ˧˧diə˧˩˨zaj˧˧ɲɯ˧˧diə˧˩˨dɔj˨˦
dai nhằng	zaj˧˧ɲăŋ˧˨
dai sức	zaj˧˧sɯk˦˥
dam	zam˧˧
dan	zan˧˧
dan díu	zan˧˧ziw˨˦
dan tay	zan˧˧tăj˧˧
dang	zaŋ˧˧
dang dở	zaŋ˧˧zɤ˧˩˨
dang nắng	zaŋ˧˧năŋ˨˦
dang sức	zaŋ˧˧sɯk˦˥
dang tay	zaŋ˧˧tăj˧˧
danh	zɛŋ˧˧
danh bút	zɛŋ˧˧but˦˥
danh bạ	zɛŋ˧˧ba˨ˀ˩ʔ
danh bản	zɛŋ˧˧ban˧˩˨
danh bất hư truyền	zɛŋ˧˧bɤ̆t˦˥hɯ˧˧cwiən˧˨
danh ca	zɛŋ˧˧ka˧˧
danh chiếm bảng vàng	zɛŋ˧˧ciəm˨˦baŋ˧˩˨vaŋ˧˨
danh chính ngôn thuận	zɛŋ˧˧ciŋ˨˦ŋon˧˧tʰwɤ̆n˨ˀ˩ʔ
danh cách	zɛŋ˧˧kɛk˦˥
danh cương lợi toả	zɛŋ˧˧kɯəŋ˧˧lɤj˨ˀ˩ʔtwa˧˩˨
danh cầm	zɛŋ˧˧kɤ̆m˧˨
danh diện	zɛŋ˧˧ziən˨ˀ˩ʔ
danh dự	zɛŋ˧˧zɯ˨ˀ˩ʔ
danh gia	zɛŋ˧˧za˧˧
danh gia vọng tộc	zɛŋ˧˧za˧˧vɔŋ͡m˨ˀ˩ʔtok͡p˨ˀ˩
danh giá	zɛŋ˧˧za˨˦
danh giáo	zɛŋ˧˧zaw˨˦
danh hiệu	zɛŋ˧˧hiəw˨ˀ˩ʔ
danh hoạ	zɛŋ˧˧hwa˨ˀ˩ʔ
danh hài	zɛŋ˧˧haj˧˨
danh họa	zɛŋ˧˧hwa˨ˀ˩ʔ
danh kĩ	zɛŋ˧˧ki˧ˀ˥
danh lam	zɛŋ˧˧lam˧˧
danh lam thắng cảnh	zɛŋ˧˧lam˧˧tʰăŋ˨˦kɛŋ˧˩˨
danh lưu thiên cổ	zɛŋ˧˧lɯw˧˧tʰiən˧˧ko˧˩˨
danh lợi	zɛŋ˧˧lɤj˨ˀ˩ʔ
danh lợi bất như nhàn	zɛŋ˧˧lɤj˨ˀ˩ʔbɤ̆t˦˥ɲɯ˧˧ɲan˧˨
danh môn	zɛŋ˧˧mon˧˧
danh mục	zɛŋ˧˧muk͡p˨ˀ˩
danh nghĩa	zɛŋ˧˧ŋiə˧ˀ˥
danh ngôn	zɛŋ˧˧ŋon˧˧
danh ngữ	zɛŋ˧˧ŋɯ˧ˀ˥
danh nho	zɛŋ˧˧ɲɔ˧˧
danh nhân	zɛŋ˧˧ɲɤ̆n˧˧
danh pháp	zɛŋ˧˧fap˦˥
danh phận	zɛŋ˧˧fɤ̆n˨ˀ˩ʔ
danh quá kì thực	zɛŋ˧˧kwa˨˦ki˧˨tʰɯk˨ˀ˩
danh sách	zɛŋ˧˧sɛk˦˥
danh sĩ	zɛŋ˧˧si˧ˀ˥
danh sơn	zɛŋ˧˧sɤn˧˧
danh sư	zɛŋ˧˧sɯ˧˧
danh số	zɛŋ˧˧so˨˦
danh thiếp	zɛŋ˧˧tʰiəp˦˥
danh thần	zɛŋ˧˧tʰɤ̆n˧˨
danh thắng	zɛŋ˧˧tʰăŋ˨˦
danh thủ	zɛŋ˧˧tʰu˧˩˨
danh tiếng	zɛŋ˧˧tiəŋ˨˦
danh tiết	zɛŋ˧˧tiət˦˥
danh tài	zɛŋ˧˧taj˧˨
danh tác	zɛŋ˧˧tak˦˥
danh tánh	zɛŋ˧˧tɛŋ˨˦
danh tính	zɛŋ˧˧tiŋ˨˦
danh tướng	zɛŋ˧˧tɯəŋ˨˦
danh từ	zɛŋ˧˧tɯ˧˨
danh từ chung	zɛŋ˧˧tɯ˧˨cuŋ͡m˧˧
danh từ khoa học	zɛŋ˧˧tɯ˧˨xwa˧˧hɔk͡p˨ˀ˩
danh từ riêng	zɛŋ˧˧tɯ˧˨ziəŋ˧˧
danh văn	zɛŋ˧˧văn˧˧
danh vị	zɛŋ˧˧vi˨ˀ˩ʔ
danh vọng	zɛŋ˧˧vɔŋ͡m˨ˀ˩ʔ
danh xưng	zɛŋ˧˧sɯŋ˧˧
danh xưng học	zɛŋ˧˧sɯŋ˧˧hɔk͡p˨ˀ˩
danh y	zɛŋ˧˧i˧˧
danh định	zɛŋ˧˧diŋ˨ˀ˩ʔ
danh động từ	zɛŋ˧˧doŋ͡m˨ˀ˩ʔtɯ˧˨
dao	zaw˧˧
dao (dân tộc)	zaw˧˧zɤ̆n˧˧tok͡p˨ˀ˩
dao bài	zaw˧˧baj˧˨
dao bàn	zaw˧˧ban˧˨
dao bào	zaw˧˧baw˧˨
dao bảy	zaw˧˧băj˧˩˨
dao bầu	zaw˧˧bɤ̆w˧˨
dao cau	zaw˧˧kăw˧˧
dao chém thớt	zaw˧˧cɛm˨˦tʰɤt˦˥
dao chém đá, rạ chém đất	zaw˧˧cɛm˨˦da˨˦za˨ˀ˩ʔcɛm˨˦dɤ̆t˦˥
dao chém đằng dọng	zaw˧˧cɛm˨˦dăŋ˧˨zɔŋ͡m˨ˀ˩ʔ
dao chìa vôi	zaw˧˧ciə˧˨voj˧˧
dao con	zaw˧˧kɔn˧˧
dao cày	zaw˧˧kăj˧˨
dao cóc mùn	zaw˧˧kɔk͡p˦˥mun˧˨
dao cóc ngáng	zaw˧˧kɔk͡p˦˥ŋaŋ˨˦
dao cùn rựa cụt	zaw˧˧kun˧˨zɯə˨ˀ˩ʔkut˨ˀ˩
dao cạo	zaw˧˧kaw˨ˀ˩ʔ
dao cầu	zaw˧˧kɤ̆w˧˨
dao cắt kính	zaw˧˧kăt˦˥kiŋ˨˦
dao dài	zaw˧˧zaj˧˨
dao díp	zaw˧˧zip˦˥
dao ghép	zaw˧˧ɣɛp˦˥
dao găm	zaw˧˧ɣăm˧˧
dao gọt	zaw˧˧ɣɔt˨ˀ˩
dao hai lưỡi	zaw˧˧haj˧˧lɯəj˧ˀ˥
dao khắc	zaw˧˧xăk˦˥
dao kéo	zaw˧˧keo˨˦
dao kề cổ	zaw˧˧ke˧˨ko˧˩˨
dao lô gang	zaw˧˧lo˧˧ɣaŋ˧˧
dao mổ	zaw˧˧mo˧˩˨
dao mỗ	zaw˧˧mo˧ˀ˥
dao ngôn	zaw˧˧ŋon˧˧
dao nhíp	zaw˧˧ɲip˦˥
dao nề	zaw˧˧ne˧˨
dao pha	zaw˧˧fa˧˧
dao phay	zaw˧˧făj˧˧
dao phát	zaw˧˧fat˦˥
dao phảng	zaw˧˧faŋ˧˩˨
dao quai	zaw˧˧kwaj˧˧
dao quần chẹt	zaw˧˧kwɤ̆n˧˨cɛt˨ˀ˩
dao quần trắng	zaw˧˧kwɤ̆n˧˨căŋ˨˦
dao quắm	zaw˧˧kwăm˨˦
dao rạch	zaw˧˧zɛk˨ˀ˩
dao rọc giấy	zaw˧˧zɔk͡p˨ˀ˩zɤ̆j˨˦
dao rựa	zaw˧˧zɯə˨ˀ˩ʔ
dao sắc chẳng chặt được	zaw˧˧săk˦˥căŋ˧˩˨căt˨ˀ˩dɯək˨ˀ˩
dao sắc chẳng chặt được chuôi	zaw˧˧săk˦˥căŋ˧˩˨căt˨ˀ˩dɯək˨ˀ˩cuəj˧˧
dao tam đảo	zaw˧˧tam˧˧daw˧˩˨
dao tiền	zaw˧˧tiən˧˨
dao tiện	zaw˧˧tiən˨ˀ˩ʔ
dao trì	zaw˧˧ci˧˨
dao trầu	zaw˧˧cɤ̆w˧˨
dao trổ	zaw˧˧co˧˩˨
dao tu	zaw˧˧tu˧˧
dao tông	zaw˧˧toŋ͡m˧˧
dao tể	zaw˧˧te˧˩˨
dao vôi	zaw˧˧voj˧˧
dao vọ	zaw˧˧vɔ˨ˀ˩ʔ
dao xây	zaw˧˧sɤ̆j˧˧
dao xếp	zaw˧˧sep˦˥
dao yếm	zaw˧˧iɛm˨˦
dao áo dài	zaw˧˧aw˨˦zaj˧˨
dao ăn	zaw˧˧ăn˧˧
dao điện	zaw˧˧diən˨ˀ˩ʔ
dao đài	zaw˧˧daj˧˨
dao đại bản	zaw˧˧daj˨ˀ˩ʔban˧˩˨
dao đỏ	zaw˧˧dɔ˧˩˨
dao độ	zaw˧˧do˨ˀ˩ʔ
dao động	zaw˧˧doŋ͡m˨ˀ˩ʔ
dao động kí	zaw˧˧doŋ͡m˨ˀ˩ʔki˨˦
dao động kế	zaw˧˧doŋ͡m˨ˀ˩ʔke˨˦
dao động đồ	zaw˧˧doŋ͡m˨ˀ˩ʔdo˧˨
day	zăj˧˧
day day	zăj˧˧zăj˧˧
day dứt	zăj˧˧zɯt˦˥
day lưng	zăj˧˧lɯŋ˧˧
day tay mắm miệng	zăj˧˧tăj˧˧măm˨˦miəŋ˨ˀ˩ʔ
day trở	zăj˧˧cɤ˧˩˨
day ấn huyệt	zăj˧˧ɤ̆n˨˦hwiət˨ˀ˩
de	zɛ˧˧
de dé	zɛ˧˧zɛ˨˦
den	zɛn˧˧
deo	zeo˧˧
deo dẻo	zeo˧˧zeo˧˩˨
di	zi˧˧
di bút	zi˧˧but˦˥
di bản	zi˧˧ban˧˩˨
di chiếu	zi˧˧ciəw˨˦
di chuyển	zi˧˧cwiən˧˩˨
di chúc	zi˧˧cuk͡p˦˥
di chỉ	zi˧˧ci˧˩˨
di chứng	zi˧˧cɯŋ˨˦
di căn	zi˧˧kăn˧˧
di cư	zi˧˧kɯ˧˧
di cảo	zi˧˧kaw˧˩˨
di cốt	zi˧˧kot˦˥
di dân	zi˧˧zɤ̆n˧˧
di dưỡng	zi˧˧zɯəŋ˧ˀ˥
